"000003","R20974","アジェンダ･ビューロー","グレー","オフィス仕様のA5サイズのダイアリー「アジェンダ･ビューロー」。ノートやメモ用紙をエレガントにカバーできます。クレジットカード用ポケットが6つ付き、収納性も抜群。別売りのダイアリーやアドレス帳とセットでお使いいただけます。","ライフスタイル:書籍 & ステーショナリー:ペンケース、ノートブック&手帳カバー"
"000004","R20409","アジェンダ･ビューロー","グレー","オフィス仕様のA5サイズのダイアリー「アジェンダ･ビューロー」。ノートやメモ用紙をエレガントにカバーできます。クレジットカード用ポケットが6つ加わり、更に使い易くなりました。別売りのダイアリーやアドレス帳とセットでお使いいただけます。","ライフスタイル:書籍 & ステーショナリー:ペンケース、ノートブック&手帳カバー"
"000007","R20232","アジェンダ GM","グレー","リング式ダイアリーの一番大きなモデル「アジェンダ GM」。複数の内ポケットとクレジットカード用ポケット付きです。レフィル類は別売。","ライフスタイル:書籍 & ステーショナリー:ペンケース、ノートブック&手帳カバー"
"000008","R20242","アジェンダ MM","グレー","ダミエ･グラフィットのダイアリー「アジェンダ MM」。内ポケット2つとクレジットカード用ポケット6つが付き、機能的。ビジネスユースにも最適なデザイン。レフィル類は別売。","ライフスタイル:書籍 & ステーショナリー:ペンケース、ノートブック&手帳カバー"
"000010","R20425","アジェンダ･ポッシュ","グレー","ポケットサイズの機能的なダイアリー「アジェンダ･ポッシュ」。クレジットカード用ポケット付きで、ジャケットのポケットにもスムーズに収まるスリムなデザイン。レフィル類は別売。","ライフスタイル:書籍 & ステーショナリー:ペンケース、ノートブック&手帳カバー"
"000011","R20975","アジェンダ･ポッシュ","グレー","ポケットサイズの機能的なダイアリー「アジェンダ･ポッシュ」。クレジットカード用ポケット付きで、ジャケットのポケットにもスムーズに収まるスリムなデザイン。マスキュリンなダミエ・グラフィットは都会的な男性にぴったりのさりげないおしゃれを演出します。レフィル類は別売り。","ライフスタイル:書籍 & ステーショナリー:ペンケース、ノートブック&手帳カバー"
"000012","R20426","アジェンダ PM","グレー","コンパクトなダイアリー「アジェンダ PM」。カード用ポケットが付いて機能も充実。アドレス帳、手帳、ノートとしてもお使いいただけます。レフィル類は別売り。","ライフスタイル:書籍 & ステーショナリー:ペンケース、ノートブック&手帳カバー"
"000015","M9887T","サンチュール・LVイニシャル 40MM リバーシブル","マロン","アイコニックなLVイニシャルのリバーシブルベルト「サンチュール･LVイニシャル 40MM リバーシブル」。落ち着いたルテニウム仕上げのバックルと、一面にダークブラウン、もう一面にブラックを配したエレガントなカーフレザーのストラップは、ビジネスにもカジュアルにもお使い頂けるアイテムです。","メンズ:アクセサリー:メンズ ベルト"
"000015","M9887S","サンチュール・LVイニシャル 40MM リバーシブル","マロン","アイコニックなLVイニシャルのリバーシブルベルト「サンチュール･LVイニシャル 40MM リバーシブル」。落ち着いたルテニウム仕上げのバックルと、一面にダークブラウン、もう一面にブラックを配したエレガントなカーフレザーのストラップは、ビジネスにもカジュアルにもお使い頂けるアイテムです。","メンズ:アクセサリー:メンズ ベルト"
"000015","M9887U","サンチュール・LVイニシャル 40MM リバーシブル","マロン","アイコニックなLVイニシャルのリバーシブルベルト「サンチュール･LVイニシャル 40MM リバーシブル」。落ち着いたルテニウム仕上げのバックルと、一面にダークブラウン、もう一面にブラックを配したエレガントなカーフレザーのストラップは、ビジネスにもカジュアルにもお使い頂けるアイテムです。","メンズ:アクセサリー:メンズ ベルト"
"000015","M9887Q","サンチュール・LVイニシャル 40MM リバーシブル","マロン","アイコニックなLVイニシャルのリバーシブルベルト「サンチュール･LVイニシャル 40MM リバーシブル」。落ち着いたルテニウム仕上げのバックルと、一面にダークブラウン、もう一面にブラックを配したエレガントなカーフレザーのストラップは、ビジネスにもカジュアルにもお使い頂けるアイテムです。","メンズ:アクセサリー:メンズ ベルト"
"000015","M9887V","サンチュール・LVイニシャル 40MM リバーシブル","マロン","アイコニックなLVイニシャルのリバーシブルベルト「サンチュール･LVイニシャル 40MM リバーシブル」。落ち着いたルテニウム仕上げのバックルと、一面にダークブラウン、もう一面にブラックを配したエレガントなカーフレザーのストラップは、ビジネスにもカジュアルにもお使い頂けるアイテムです。","メンズ:アクセサリー:メンズ ベルト"
